home_team,home_win,home_draw,home_loss,away_win,away_draw,continent,avg_FIFA_points,median_FIFA_rank,home_goal_scored,home_goal_conceded,away_goal_scored,away_goal_conceded
Afghanistan,16,8,12,33,17,Asia,275.744114,150.5,51,53,66,126
Albania,52,30,49,66,24,Europe,383.2413914,78,156,143,98,176
Algeria,91,30,38,51,41,Africa,438.5155179,55,297,143,149,162
American Samoa,3,1,13,13,0,Oceania,117.1449906,203,17,94,5,119
Andorra,10,13,74,82,9,Europe,257.6376854,156,36,199,24,275
Angola,74,45,26,64,52,Africa,205.6431865,84,217,124,134,182
Anguilla,1,2,10,24,3,North America,313.6689615,204,9,40,15,153
Antigua and Barbuda,34,13,24,39,12,North America,235.7196718,127,111,89,86,150
Argentina,130,36,24,48,43,South America,537.717013,6,379,140,278,192
Armenia,38,27,49,76,20,Europe,341.4091942,98,133,172,102,238
Aruba,8,3,15,20,2,North America,293.9944627,187,39,66,27,72
Australia,112,26,31,51,37,Oceania,328.6168246,48,435,127,194,164
Austria,70,36,54,46,22,Europe,455.5357596,46,254,191,151,169
Azerbaijan,29,41,53,93,30,Europe,267.390477,115,104,149,79,279
Bahamas,7,5,9,16,0,North America,381.2609003,196,32,43,16,81
Bahrain,105,62,59,70,48,Asia,236.9804202,100,350,213,166,233
Bangladesh,29,25,36,48,16,Asia,219.9130349,170,93,122,54,165
Barbados,35,23,30,41,8,North America,194.7889501,121,122,107,88,144
Belarus,41,34,42,79,26,Europe,327.3633814,82,148,137,150,237
Belgium,97,34,32,42,32,Europe,627.4481901,22,350,162,213,167
Belize,13,4,18,33,9,North America,282.3951315,170,50,57,36,112
Benin,37,27,18,57,21,Africa,314.6140211,103,112,86,79,176
Bermuda,23,8,20,26,4,North America,269.0473438,167,100,73,56,77
Bhutan,5,3,17,45,2,Asia,106.2773153,190,25,71,17,203
Bolivia,50,39,37,111,34,South America,291.5447337,69,192,149,106,330
Bosnia and Herzegovina,53,28,35,56,26,Europe,492.049558,54.5,188,134,158,183
Botswana,55,33,44,61,33,Africa,203.4128195,115,128,110,83,161
Brazil,181,31,21,35,45,South America,474.652101,2,558,141,396,159
British Virgin Islands,7,6,22,21,6,North America,153.0821445,182,37,87,15,118
